"elapsed_sec","MBps","pct_of_link"
"0","1173.5","29.8"
"59.7","1127.5","28.6"
"119.4","1128.3","28.6"
"179.1","1136.1","28.8"
"238.8","1057","26.8"
"298.5","1127.1","28.6"
"358.2","1125.9","28.6"
"417.9","1089.8","27.7"
"477.6","1113.6","28.3"
"537.3","1135.4","28.8"
"597","1134.1","28.8"
"656.7","1131.3","28.7"
"716.4","1138.6","28.9"
"776.1","1100.6","27.9"
"835.8","1131.5","28.7"
"895.5","1142.5","29"
"955.2","1164.6","29.6"
"1014.8","1172.1","29.7"
"1074.5","1120.5","28.4"
"1134.2","501.1","12.7"
"1193.7","1181.5","30"
