"TimestampUtc","ElapsedSec","WindowMBps","CumulativeMBps","TempC","WindowBytesRead","WindowReads","WindowErrors"
"2026-08-08T22:45:56.1711126Z","5","2163.65","2145.39","","10821304320","1290","0"
"2026-08-08T22:46:01.2398304Z","10.4","2244.48","2127.93","","11223957504","1338","0"
"2026-08-08T22:46:06.2619673Z","15.4","2421.95","2216.88","","12113149952","1444","0"
"2026-08-08T22:46:11.2809349Z","20.4","2543.18","2294.63","","12717129728","1516","0"
"2026-08-08T22:46:16.3010723Z","25.4","2576.03","2348.36","","12884901888","1536","0"
"2026-08-08T22:46:21.3219131Z","30.5","2580.94","2385.06","","12910067712","1539","0"
"2026-08-08T22:46:26.3438517Z","35.5","2490.58","2398.54","","12457082880","1485","0"
"2026-08-08T22:46:31.3646673Z","40.5","2559.85","2417.36","","12801015808","1526","0"
"2026-08-08T22:46:36.3865831Z","45.5","2520.7","2427.63","","12608077824","1503","0"
"2026-08-08T22:46:41.4069603Z","50.6","2528.58","2436.67","","12650020864","1508","0"
"2026-08-08T22:46:46.4286459Z","55.6","2556.67","2446.72","","12792627200","1525","0"
"2026-08-08T22:46:50.8561165Z","60","2475.73","2448.14","","10913579008","1301","0"
