# expert slice manifest for DeepSeek-V4-Flash-0731 UD-IQ1_S
# expert e of a row lives at base_offset + e*stride, for stride bytes
#S 0 E:\models\ds4f-iq1s\UD-IQ1_S\DeepSeek-V4-Flash-0731-UD-IQ1_S-00001-of-00003.gguf
#S 1 E:\models\ds4f-iq1s\UD-IQ1_S\DeepSeek-V4-Flash-0731-UD-IQ1_S-00002-of-00003.gguf
#S 2 E:\models\ds4f-iq1s\UD-IQ1_S\DeepSeek-V4-Flash-0731-UD-IQ1_S-00003-of-00003.gguf
layer,kind,shard_idx,base_offset,stride,n_expert
0,gate,1,1537107360,1638400,256
0,up,1,1967521184,1638400,256
0,down,1,708142496,3211264,256
1,gate,1,3336918944,2162688,256
1,up,1,3901550496,2162688,256
1,down,1,2507954080,3211264,256
2,gate,1,5414097312,1638400,256
2,up,1,5844511136,1638400,256
2,down,1,4585132448,3211264,256
3,gate,1,7230824864,1638400,256
3,up,1,7658135968,1638400,256
3,down,1,6401860000,3211264,256
4,gate,1,9036466080,2162688,256
4,up,1,9597994912,2162688,256
4,down,1,8207501216,3211264,256
5,gate,1,11118526368,2162688,256
5,up,1,11680055200,2162688,256
5,down,1,10289561504,3211264,256
6,gate,1,13192603040,1638400,256
6,up,1,13619914144,1638400,256
6,down,1,12363638176,3211264,256
7,gate,1,15006227872,1638400,256
7,up,1,15433538976,1638400,256
7,down,1,14177263008,3211264,256
8,gate,1,16811869088,2162688,256
8,up,1,17373397920,2162688,256
8,down,1,15982904224,3211264,256
9,gate,1,18893929376,2162688,256
9,up,1,19455458208,2162688,256
9,down,1,18064964512,3211264,256
10,gate,1,20968006048,1638400,256
10,up,1,21395317152,1638400,256
10,down,1,20139041184,3211264,256
11,gate,1,22781630880,1638400,256
11,up,1,23208941984,1638400,256
11,down,1,21952666016,3211264,256
12,gate,1,24587272096,1638400,256
12,up,1,25014583200,1638400,256
12,down,1,23758307232,3211264,256
13,gate,1,26400896928,1638400,256
13,up,1,26828208032,1638400,256
13,down,1,25571932064,3211264,256
14,gate,1,28206538144,1638400,256
14,up,1,28633849248,1638400,256
14,down,1,27377573280,3211264,256
15,gate,1,30020162976,1638400,256
15,up,1,30447474080,1638400,256
15,down,1,29191198112,3211264,256
16,gate,1,31825804192,1638400,256
16,up,1,32253115296,1638400,256
16,down,1,30996839328,3211264,256
17,gate,1,33639429024,1638400,256
17,up,1,34066740128,1638400,256
17,down,1,32810464160,3211264,256
18,gate,1,35445070240,1638400,256
18,up,1,35872381344,1638400,256
18,down,1,34616105376,3211264,256
19,gate,1,37258695072,1638400,256
19,up,1,37686006176,1638400,256
19,down,1,36429730208,3211264,256
20,gate,1,39064336288,1638400,256
20,up,1,39491647392,1638400,256
20,down,1,38235371424,3211264,256
21,gate,1,40877961120,1638400,256
21,up,1,41305272224,1638400,256
21,down,1,40048996256,3211264,256
22,gate,1,42683602336,1638400,256
22,up,1,43110913440,1638400,256
22,down,1,41854637472,3211264,256
23,gate,1,44497227168,1638400,256
23,up,1,44924538272,1638400,256
23,down,1,43668262304,3211264,256
24,gate,1,46302868384,1638400,256
24,up,1,46730179488,1638400,256
24,down,1,45473903520,3211264,256
25,gate,1,48116493216,1638400,256
25,up,1,48543804320,1638400,256
25,down,1,47287528352,3211264,256
26,gate,2,1149797184,2162688,256
26,up,2,1712440128,2162688,256
26,down,2,33600,4456448,256
27,gate,2,3234085696,2162688,256
27,up,2,3795614528,2162688,256
27,down,2,2405120832,3211264,256
28,gate,2,5308162368,2162688,256
28,up,2,5869691200,2162688,256
28,down,2,4479197504,3211264,256
29,gate,2,7390222656,2162688,256
29,up,2,7951751488,2162688,256
29,down,2,6561257792,3211264,256
30,gate,2,9464299328,2162688,256
30,up,2,10025828160,2162688,256
30,down,2,8635334464,3211264,256
31,gate,2,11546359616,1638400,256
31,up,2,11973670720,1638400,256
31,down,2,10717394752,3211264,256
32,gate,2,13352000832,2162688,256
32,up,2,13913529664,2162688,256
32,down,2,12523035968,3211264,256
33,gate,2,15434061120,2162688,256
33,up,2,15995589952,2162688,256
33,down,2,14605096256,3211264,256
34,gate,2,17508137792,1638400,256
34,up,2,17935448896,1638400,256
34,down,2,16679172928,3211264,256
35,gate,2,19321762624,1638400,256
35,up,2,19749073728,1638400,256
35,down,2,18492797760,3211264,256
36,gate,2,21127403840,1638400,256
36,up,2,21554714944,1638400,256
36,down,2,20298438976,3211264,256
37,gate,2,22941028672,1638400,256
37,up,2,23368339776,1638400,256
37,down,2,22112063808,3211264,256
38,gate,2,24746669888,1638400,256
38,up,2,25173980992,1638400,256
38,down,2,23917705024,3211264,256
39,gate,2,26560294720,1638400,256
39,up,2,26987605824,1638400,256
39,down,2,25731329856,3211264,256
40,gate,2,28365935936,2162688,256
40,up,2,28927464768,2162688,256
40,down,2,27536971072,3211264,256
41,gate,2,30447996224,1638400,256
41,up,2,30875307328,1638400,256
41,down,2,29619031360,3211264,256
42,gate,2,32572404544,1638400,256
42,up,2,32999715648,1638400,256
42,down,2,31424672576,4456448,256
