mode,qd,sector,tokens_req,reads_done,reads_req,bytes_read,elapsed_s,mbps,ms_per_token,timed_out,seed
split,1,4096,2,1548,1548,3547643904,4.345,778.6,2172.6,0,42
split,1,4096,2,1548,1548,3547643904,5.416,624.6,2708.2,0,42
split,2,4096,2,1548,1548,3547643904,4.033,838.9,2016.6,0,42
split,2,4096,2,1548,1548,3547643904,3.789,892.9,1894.5,0,42
split,4,4096,2,1548,1548,3547643904,3.777,895.7,1888.7,0,42
split,4,4096,2,1548,1548,3547643904,3.332,1015.3,1666.2,0,42
split,8,4096,2,1548,1548,3547643904,3.020,1120.3,1510.0,0,42
split,8,4096,2,1548,1548,3547643904,3.806,889.0,1903.0,0,42
split,16,4096,2,1548,1548,3547643904,3.847,879.4,1923.6,0,42
split,16,4096,2,1548,1548,3547643904,3.802,889.9,1901.0,0,42
split,32,4096,2,1548,1548,3547643904,3.782,894.7,1890.8,0,42
split,32,4096,2,1548,1548,3547643904,3.800,890.3,1900.2,0,42
packed,1,4096,2,516,516,3543416832,5.215,648.0,2607.6,0,42
packed,1,4096,2,516,516,3543416832,3.350,1008.6,1675.2,0,42
packed,2,4096,2,516,516,3543416832,3.001,1126.0,1500.5,0,42
packed,2,4096,2,516,516,3543416832,3.536,955.5,1768.2,0,42
packed,4,4096,2,516,516,3543416832,3.500,965.5,1750.0,0,42
packed,4,4096,2,516,516,3543416832,3.632,930.5,1815.9,0,42
packed,8,4096,2,516,516,3543416832,3.640,928.5,1819.8,0,42
packed,8,4096,2,516,516,3543416832,2.361,1431.4,1180.4,0,42
packed,16,4096,2,516,516,3543416832,3.328,1015.3,1664.1,0,42
packed,16,4096,2,516,516,3543416832,3.300,1023.9,1650.2,0,42
packed,32,4096,2,516,516,3543416832,4.680,722.1,2340.0,0,42
packed,32,4096,2,516,516,3543416832,2.920,1157.5,1459.8,0,42
