mode,qd,sector,tokens_req,reads_done,reads_req,bytes_read,elapsed_s,mbps,ms_per_token,timed_out,seed
split,1,4096,4,3096,3096,7095287808,12.051,561.5,3012.8,0,42
packed,1,4096,4,1032,1032,7086833664,7.830,863.2,1957.4,0,42
split,2,4096,4,3096,3096,7095287808,8.167,828.5,2041.8,0,42
packed,2,4096,4,1032,1032,7086833664,7.391,914.4,1847.8,0,42
split,4,4096,4,3096,3096,7095287808,6.648,1017.8,1662.0,0,42
packed,4,4096,4,1032,1032,7086833664,5.623,1201.9,1405.8,0,42
split,8,4096,4,3096,3096,7095287808,5.808,1165.0,1452.1,0,42
packed,8,4096,4,1032,1032,7086833664,7.225,935.5,1806.2,0,42
split,16,4096,4,3096,3096,7095287808,7.632,886.6,1908.0,0,42
packed,16,4096,4,1032,1032,7086833664,7.400,913.3,1850.1,0,42
split,32,4096,4,3096,3096,7095287808,7.665,882.8,1916.2,0,42
packed,32,4096,4,1032,1032,7086833664,5.363,1260.1,1340.8,0,42
split,1,4096,4,3096,3096,7095287808,17.139,394.8,4284.8,0,42
packed,1,4096,4,1032,1032,7086833664,10.684,632.6,2671.0,0,42
split,2,4096,4,3096,3096,7095287808,7.060,958.4,1765.0,0,42
packed,2,4096,4,1032,1032,7086833664,8.108,833.5,2027.1,0,42
split,4,4096,4,3096,3096,7095287808,8.355,809.9,2088.8,0,42
packed,4,4096,4,1032,1032,7086833664,9.975,677.5,2493.8,0,42
split,8,4096,4,3096,3096,7095287808,8.652,782.1,2162.9,0,42
packed,8,4096,4,1032,1032,7086833664,10.696,631.9,2674.0,0,42
split,16,4096,4,3096,3096,7095287808,6.682,1012.7,1670.5,0,42
packed,16,4096,4,1032,1032,7086833664,9.928,680.7,2482.0,0,42
split,32,4096,4,3096,3096,7095287808,8.087,836.7,2021.9,0,42
packed,32,4096,4,1032,1032,7086833664,11.172,604.9,2793.1,0,42
split,1,4096,4,3096,3096,7095287808,13.175,513.6,3293.7,0,42
packed,1,4096,4,1032,1032,7086833664,7.399,913.4,1849.8,0,42
split,2,4096,4,3096,3096,7095287808,8.447,801.1,2111.8,0,42
packed,2,4096,4,1032,1032,7086833664,10.898,620.2,2724.5,0,42
split,4,4096,4,3096,3096,7095287808,9.106,743.1,2276.4,0,42
