layer,expert,matrix,quant_type,rows,cols,full_rank,svd_method,dequant_time_s,svd_time_s,frob_sq_real,frob_sq_random,std_real,original_quant_bytes,energy_real_r8,energy_random_r8,sketch_bytes_r8,compression_ratio_r8,energy_real_r16,energy_random_r16,sketch_bytes_r16,compression_ratio_r16,energy_real_r32,energy_random_r32,sketch_bytes_r32,compression_ratio_r32,energy_real_r64,energy_random_r64,sketch_bytes_r64,compression_ratio_r64,energy_real_r128,energy_random_r128,sketch_bytes_r128,compression_ratio_r128,energy_real_r256,energy_random_r256,sketch_bytes_r256,compression_ratio_r256,rank90_real,rank95_real,rank99_real,rank90_real_frac,rank95_real_frac,rank99_real_frac,rank90_random,rank95_random,rank99_random,rank90_random_frac,rank95_random_frac,rank99_random_frac
0,12,gate,IQ1_S,2048,4096,2048,exact,0.127,6.4301,6155.648854665117,6156.114369738654,0.027088938280940056,1638400,0.013611,0.011154,49152,33.3333,0.026042,0.022038,98304,16.6667,0.049886,0.043181,196608,8.3333,0.094828,0.0837,393216,4.1667,0.176876,0.15904,786432,2.0833,0.318037,0.292117,1572864,1.0417,1309,1550,1879,0.6392,0.7568,0.9175,1360,1591,1899,0.6641,0.7769,0.9272
0,12,up,IQ1_S,2048,4096,2048,exact,0.1091,5.6059,6276.631208523491,6282.422663592745,0.027353830635547638,1638400,0.012429,0.011145,49152,33.3333,0.024488,0.022018,98304,16.6667,0.047841,0.043187,196608,8.3333,0.092131,0.083697,393216,4.1667,0.173295,0.158998,786432,2.0833,0.313863,0.292175,1572864,1.0417,1314,1553,1881,0.6416,0.7583,0.9185,1360,1592,1899,0.6641,0.7773,0.9272
0,12,down,IQ3_XXS,4096,2048,2048,exact,0.1567,5.6961,5488.5899709029445,5484.948598973915,0.025578198954463005,3211264,0.011306,0.011194,49152,65.3333,0.022304,0.022088,98304,32.6667,0.043637,0.043261,196608,16.3333,0.084349,0.083726,393216,8.1667,0.159878,0.159036,786432,4.0833,0.293166,0.292165,1572864,2.0417,1359,1591,1898,0.6636,0.7769,0.9268,1360,1591,1898,0.6641,0.7769,0.9268
0,57,gate,IQ1_S,2048,4096,2048,exact,0.0942,5.5708,6134.316614352055,6133.389100088314,0.027041953057050705,1638400,0.013552,0.011139,49152,33.3333,0.026031,0.022003,98304,16.6667,0.049972,0.043133,196608,8.3333,0.095013,0.083621,393216,4.1667,0.177133,0.158857,786432,2.0833,0.318501,0.291867,1572864,1.0417,1309,1549,1879,0.6392,0.7563,0.9175,1360,1591,1899,0.6641,0.7769,0.9272
0,57,up,IQ1_S,2048,4096,2048,exact,0.1111,5.6408,6263.388921067674,6264.434823547579,0.02732497826218605,1638400,0.012488,0.011182,49152,33.3333,0.024584,0.022066,98304,16.6667,0.047946,0.043244,196608,8.3333,0.092198,0.083737,393216,4.1667,0.173517,0.15904,786432,2.0833,0.314287,0.292216,1572864,1.0417,1313,1553,1881,0.6411,0.7583,0.9185,1360,1592,1898,0.6641,0.7773,0.9268
0,57,down,IQ3_XXS,4096,2048,2048,exact,0.1575,5.4051,5459.548443179583,5462.9504019863725,0.025510430335998535,3211264,0.011306,0.011183,49152,65.3333,0.022276,0.022073,98304,32.6667,0.043558,0.043227,196608,16.3333,0.084202,0.083676,393216,8.1667,0.15957,0.158946,786432,4.0833,0.292736,0.29208,1572864,2.0417,1359,1591,1898,0.6636,0.7769,0.9268,1360,1591,1899,0.6641,0.7769,0.9272
21,125,gate,IQ1_S,2048,4096,2048,exact,0.1104,5.6266,5735.354177975393,5734.81885391104,0.026147790253162384,1638400,0.032096,0.011156,49152,33.3333,0.053145,0.02205,98304,16.6667,0.087174,0.043244,196608,8.3333,0.142521,0.083777,393216,4.1667,0.232036,0.15908,786432,2.0833,0.372411,0.292153,1572864,1.0417,1276,1526,1870,0.623,0.7451,0.9131,1360,1592,1899,0.6641,0.7773,0.9272
21,125,up,IQ1_S,2048,4096,2048,exact,0.1107,5.5396,6027.889609153939,6025.008817425893,0.02680634893476963,1638400,0.021307,0.011141,49152,33.3333,0.036963,0.022026,98304,16.6667,0.064521,0.043174,196608,8.3333,0.113582,0.083654,393216,4.1667,0.198963,0.158922,786432,2.0833,0.339823,0.291981,1572864,1.0417,1303,1547,1879,0.6362,0.7554,0.9175,1360,1591,1899,0.6641,0.7769,0.9272
21,125,down,IQ3_XXS,4096,2048,2048,exact,0.1612,5.6769,5072.420594749648,5072.627311176842,0.024589257314801216,3211264,0.030468,0.011143,49152,65.3333,0.04928,0.022028,98304,32.6667,0.080487,0.043208,196608,16.3333,0.132306,0.083707,393216,8.1667,0.218489,0.159011,786432,4.0833,0.357671,0.292068,1572864,2.0417,1288,1536,1874,0.6289,0.75,0.915,1360,1591,1899,0.6641,0.7769,0.9272
21,140,gate,IQ1_S,2048,4096,2048,exact,0.1099,5.5589,5972.057455037131,5967.620296194128,0.02668190561234951,1638400,0.029721,0.011165,49152,33.3333,0.049306,0.022045,98304,16.6667,0.081478,0.043221,196608,8.3333,0.134507,0.083743,393216,4.1667,0.221396,0.159047,786432,2.0833,0.360179,0.292074,1572864,1.0417,1292,1539,1876,0.6309,0.7515,0.916,1360,1592,1899,0.6641,0.7773,0.9272
21,140,up,IQ1_S,2048,4096,2048,exact,0.1089,5.6892,6164.686878557611,6161.186688745776,0.02710880897939205,1638400,0.016642,0.011167,49152,33.3333,0.031247,0.022011,98304,16.6667,0.058006,0.04312,196608,8.3333,0.106227,0.083579,393216,4.1667,0.190633,0.158891,786432,2.0833,0.331126,0.291863,1572864,1.0417,1314,1555,1883,0.6416,0.7593,0.9194,1360,1592,1899,0.6641,0.7773,0.9272
21,140,down,IQ3_XXS,4096,2048,2048,exact,0.1581,5.7358,5376.6152317502165,5376.793215535546,0.025316007435321808,3211264,0.028482,0.011155,49152,65.3333,0.048529,0.022049,98304,32.6667,0.081917,0.04324,196608,16.3333,0.136195,0.083705,393216,8.1667,0.22373,0.158965,786432,4.0833,0.363263,0.292082,1572864,2.0417,1284,1532,1872,0.627,0.748,0.9141,1360,1591,1899,0.6641,0.7769,0.9272
42,71,gate,IQ1_S,2048,4096,2048,exact,0.1082,5.6221,7165.056395401203,7170.653055716243,0.029225677251815796,1638400,0.029245,0.011175,49152,33.3333,0.04326,0.022048,98304,16.6667,0.067561,0.043226,196608,8.3333,0.110871,0.083756,393216,4.1667,0.188353,0.159032,786432,2.0833,0.321783,0.291977,1572864,1.0417,1332,1570,1889,0.6504,0.7666,0.9224,1360,1591,1899,0.6641,0.7769,0.9272
42,71,up,IQ1_S,2048,4096,2048,exact,0.1296,5.9465,7303.713993754861,7307.6105111387515,0.02950713224709034,1638400,0.019873,0.011159,49152,33.3333,0.033217,0.022024,98304,16.6667,0.056547,0.043174,196608,8.3333,0.099118,0.083686,393216,4.1667,0.176342,0.159018,786432,2.0833,0.310162,0.29222,1572864,1.0417,1343,1578,1893,0.6558,0.7705,0.9243,1359,1591,1898,0.6636,0.7769,0.9268
