group,F,learned_union,learned_x,hash_union,random_union,sequential_union
fanA,1,6.0,1.0,6.0,6.0,6.0
fanA,2,9.6982,1.6164,11.9048,11.8594,9.4125
fanA,3,12.6286,2.1048,17.7143,17.5814,12.9156
fanA,4,15.1232,2.5205,23.4286,23.1694,16.5469
fanA,5,17.3214,2.8869,29.0476,28.6263,18.7188
fanA,6,19.2973,3.2162,34.5714,33.9554,21.6812
fanA,7,21.0969,3.5161,40.0,39.1596,23.2469
fanA,8,22.75,3.7917,45.3333,44.2418,25.9469
fanB,1,6.0,1.0,6.0,6.0,6.0
fanB,2,9.4143,1.569,11.9405,11.8594,9.2875
fanB,3,12.0308,2.0051,17.8214,17.5814,11.6188
fanB,4,14.2046,2.3674,23.6429,23.1694,14.2188
fanB,5,16.0839,2.6807,29.4048,28.6263,15.9438
fanB,6,17.7545,2.9591,35.1071,33.9554,18.3219
fanB,7,19.2719,3.212,40.75,39.1596,19.6125
fanB,8,20.675,3.4458,46.3333,44.2418,21.4937
