metric,layer,value
min,ALL,0.0049088867
max,ALL,0.95004171
mean,ALL,0.16666666671766794
median,ALL,0.14581503499999998
decile_10,ALL,0.082361553
decile_20,ALL,0.10229884
decile_30,ALL,0.118511475
decile_40,ALL,0.13151073
decile_50,ALL,0.14581503499999998
decile_60,ALL,0.16116406
decile_70,ALL,0.18268515000000002
decile_80,ALL,0.21442623
decile_90,ALL,0.275333655
rank_mean_1,ALL,0.31806873499999966
rank_mean_2,ALL,0.1945211614767443
rank_mean_3,ALL,0.15367999972868215
rank_mean_4,ALL,0.12716972029534881
rank_mean_5,ALL,0.10885034862209304
rank_mean_6,ALL,0.0977100351831395
cumsum_mean_1,ALL,0.31806873499999966
cumsum_mean_2,ALL,0.5125898964767445
cumsum_mean_3,ALL,0.6662698962054265
cumsum_mean_4,ALL,0.7934396165007743
cumsum_mean_5,ALL,0.9022899651228686
cumsum_mean_6,ALL,1.0000000003060092
mean_experts_for_0.6,ALL,3.0232558139534884
mean_experts_for_0.9,ALL,5.406976744186046
topk_loss_top4,ALL,0.20656038349922481
topk_loss_top3,ALL,0.3337301037945737
skip_frac_lt_0.2,ALL,0.06395348837209303
skip_frac_lt_0.2,LEARNED_3-42,0.04375
skip_frac_lt_0.2,HASH_0-2,0.3333333333333333
skip_frac_lt_0.3,ALL,0.5542635658914729
skip_frac_lt_0.3,LEARNED_3-42,0.5354166666666667
skip_frac_lt_0.3,HASH_0-2,0.8055555555555556
skip_frac_lt_0.4,ALL,0.8662790697674418
skip_frac_lt_0.4,LEARNED_3-42,0.8583333333333333
skip_frac_lt_0.4,HASH_0-2,0.9722222222222222
skip_frac_lt_0.5,ALL,0.936046511627907
skip_frac_lt_0.5,LEARNED_3-42,0.93125
skip_frac_lt_0.5,HASH_0-2,1.0
topk_loss_top4,0,0.15173162749999997
topk_loss_top3,0,0.288241465
mean_experts_for_0.6,0,2.9166666666666665
mean_experts_for_0.9,0,4.916666666666667
skip_frac_lt_0.2,0,0.08333333333333333
skip_frac_lt_0.3,0,0.75
skip_frac_lt_0.4,0,0.9166666666666666
skip_frac_lt_0.5,0,1.0
topk_loss_top4,1,0.2103032929166667
topk_loss_top3,1,0.35660282083333333
mean_experts_for_0.6,1,3.3333333333333335
mean_experts_for_0.9,1,5.416666666666667
skip_frac_lt_0.2,1,0.3333333333333333
skip_frac_lt_0.3,1,0.6666666666666666
skip_frac_lt_0.4,1,1.0
skip_frac_lt_0.5,1,1.0
topk_loss_top4,2,0.2642430966666667
topk_loss_top3,2,0.4173233175
mean_experts_for_0.6,2,3.75
mean_experts_for_0.9,2,5.833333333333333
skip_frac_lt_0.2,2,0.5833333333333334
skip_frac_lt_0.3,2,1.0
skip_frac_lt_0.4,2,1.0
skip_frac_lt_0.5,2,1.0
topk_loss_top4,3,0.19287071316666668
topk_loss_top3,3,0.30678095175
mean_experts_for_0.6,3,2.8333333333333335
mean_experts_for_0.9,3,5.166666666666667
skip_frac_lt_0.2,3,0.0
skip_frac_lt_0.3,3,0.3333333333333333
skip_frac_lt_0.4,3,0.6666666666666666
skip_frac_lt_0.5,3,1.0
topk_loss_top4,4,0.21792546741666666
topk_loss_top3,4,0.3405332124166666
mean_experts_for_0.6,4,2.9166666666666665
mean_experts_for_0.9,4,5.583333333333333
skip_frac_lt_0.2,4,0.08333333333333333
skip_frac_lt_0.3,4,0.5833333333333334
skip_frac_lt_0.4,4,0.9166666666666666
skip_frac_lt_0.5,4,0.9166666666666666
topk_loss_top4,5,0.23778591241666672
topk_loss_top3,5,0.3712058225833334
mean_experts_for_0.6,5,3.1666666666666665
mean_experts_for_0.9,5,5.833333333333333
skip_frac_lt_0.2,5,0.08333333333333333
skip_frac_lt_0.3,5,0.6666666666666666
skip_frac_lt_0.4,5,0.9166666666666666
skip_frac_lt_0.5,5,0.9166666666666666
topk_loss_top4,6,0.24780073425000002
topk_loss_top3,6,0.37927957808333335
mean_experts_for_0.6,6,3.3333333333333335
mean_experts_for_0.9,6,5.833333333333333
skip_frac_lt_0.2,6,0.08333333333333333
skip_frac_lt_0.3,6,0.9166666666666666
skip_frac_lt_0.4,6,0.9166666666666666
skip_frac_lt_0.5,6,0.9166666666666666
topk_loss_top4,7,0.24763957749999999
topk_loss_top3,7,0.3912900666666666
mean_experts_for_0.6,7,3.5833333333333335
mean_experts_for_0.9,7,5.666666666666667
skip_frac_lt_0.2,7,0.25
skip_frac_lt_0.3,7,0.6666666666666666
skip_frac_lt_0.4,7,0.8333333333333334
skip_frac_lt_0.5,7,1.0
topk_loss_top4,8,0.2111468419166667
topk_loss_top3,8,0.3330727983333333
mean_experts_for_0.6,8,3.0
mean_experts_for_0.9,8,5.5
skip_frac_lt_0.2,8,0.0
skip_frac_lt_0.3,8,0.5833333333333334
skip_frac_lt_0.4,8,0.9166666666666666
skip_frac_lt_0.5,8,0.9166666666666666
topk_loss_top4,9,0.22069338199999997
topk_loss_top3,9,0.34975269908333334
mean_experts_for_0.6,9,3.0833333333333335
mean_experts_for_0.9,9,5.583333333333333
skip_frac_lt_0.2,9,0.08333333333333333
skip_frac_lt_0.3,9,0.6666666666666666
skip_frac_lt_0.4,9,0.9166666666666666
skip_frac_lt_0.5,9,0.9166666666666666
topk_loss_top4,10,0.25160134800000006
topk_loss_top3,10,0.3939169994166667
mean_experts_for_0.6,10,3.4166666666666665
mean_experts_for_0.9,10,5.916666666666667
skip_frac_lt_0.2,10,0.08333333333333333
skip_frac_lt_0.3,10,0.75
skip_frac_lt_0.4,10,0.9166666666666666
skip_frac_lt_0.5,10,0.9166666666666666
topk_loss_top4,11,0.22881741666666663
topk_loss_top3,11,0.36186270666666664
mean_experts_for_0.6,11,3.3333333333333335
mean_experts_for_0.9,11,5.75
skip_frac_lt_0.2,11,0.0
skip_frac_lt_0.3,11,0.6666666666666666
skip_frac_lt_0.4,11,0.8333333333333334
skip_frac_lt_0.5,11,0.9166666666666666
topk_loss_top4,12,0.24187512200000003
topk_loss_top3,12,0.37634394083333333
mean_experts_for_0.6,12,3.3333333333333335
mean_experts_for_0.9,12,5.75
skip_frac_lt_0.2,12,0.16666666666666666
skip_frac_lt_0.3,12,0.5
skip_frac_lt_0.4,12,0.8333333333333334
skip_frac_lt_0.5,12,0.9166666666666666
topk_loss_top4,13,0.20821581716666662
topk_loss_top3,13,0.344061833
mean_experts_for_0.6,13,3.0
mean_experts_for_0.9,13,5.333333333333333
skip_frac_lt_0.2,13,0.08333333333333333
skip_frac_lt_0.3,13,0.4166666666666667
skip_frac_lt_0.4,13,0.8333333333333334
skip_frac_lt_0.5,13,0.9166666666666666
topk_loss_top4,14,0.20099748699999997
topk_loss_top3,14,0.33014395250000006
mean_experts_for_0.6,14,3.0
mean_experts_for_0.9,14,5.25
skip_frac_lt_0.2,14,0.0
skip_frac_lt_0.3,14,0.5
skip_frac_lt_0.4,14,1.0
skip_frac_lt_0.5,14,1.0
topk_loss_top4,15,0.24140628083333338
topk_loss_top3,15,0.3855039241666667
mean_experts_for_0.6,15,3.3333333333333335
mean_experts_for_0.9,15,6.0
skip_frac_lt_0.2,15,0.0
skip_frac_lt_0.3,15,0.75
skip_frac_lt_0.4,15,1.0
skip_frac_lt_0.5,15,1.0
topk_loss_top4,16,0.23792645808333335
topk_loss_top3,16,0.37800255416666667
mean_experts_for_0.6,16,3.4166666666666665
mean_experts_for_0.9,16,5.75
skip_frac_lt_0.2,16,0.08333333333333333
skip_frac_lt_0.3,16,0.8333333333333334
skip_frac_lt_0.4,16,0.9166666666666666
skip_frac_lt_0.5,16,1.0
topk_loss_top4,17,0.2233850735
topk_loss_top3,17,0.359637642
mean_experts_for_0.6,17,3.1666666666666665
mean_experts_for_0.9,17,5.75
skip_frac_lt_0.2,17,0.0
skip_frac_lt_0.3,17,0.9166666666666666
skip_frac_lt_0.4,17,0.9166666666666666
skip_frac_lt_0.5,17,0.9166666666666666
topk_loss_top4,18,0.2537240125
topk_loss_top3,18,0.40559575833333333
mean_experts_for_0.6,18,3.5
mean_experts_for_0.9,18,5.916666666666667
skip_frac_lt_0.2,18,0.16666666666666666
skip_frac_lt_0.3,18,0.8333333333333334
skip_frac_lt_0.4,18,1.0
skip_frac_lt_0.5,18,1.0
topk_loss_top4,19,0.19677213250000003
topk_loss_top3,19,0.31831535916666676
mean_experts_for_0.6,19,3.0
mean_experts_for_0.9,19,5.333333333333333
skip_frac_lt_0.2,19,0.0
skip_frac_lt_0.3,19,0.5
skip_frac_lt_0.4,19,0.9166666666666666
skip_frac_lt_0.5,19,1.0
topk_loss_top4,20,0.23113950700000005
topk_loss_top3,20,0.3612245004166667
mean_experts_for_0.6,20,3.0
mean_experts_for_0.9,20,5.833333333333333
skip_frac_lt_0.2,20,0.0
skip_frac_lt_0.3,20,0.5833333333333334
skip_frac_lt_0.4,20,0.9166666666666666
skip_frac_lt_0.5,20,0.9166666666666666
topk_loss_top4,21,0.22619019691666664
topk_loss_top3,21,0.36047852466666663
mean_experts_for_0.6,21,3.1666666666666665
mean_experts_for_0.9,21,5.583333333333333
skip_frac_lt_0.2,21,0.0
skip_frac_lt_0.3,21,0.8333333333333334
skip_frac_lt_0.4,21,0.9166666666666666
skip_frac_lt_0.5,21,0.9166666666666666
topk_loss_top4,22,0.20102333233333333
topk_loss_top3,22,0.32000115349999997
mean_experts_for_0.6,22,2.9166666666666665
mean_experts_for_0.9,22,5.166666666666667
skip_frac_lt_0.2,22,0.0
skip_frac_lt_0.3,22,0.6666666666666666
skip_frac_lt_0.4,22,0.9166666666666666
skip_frac_lt_0.5,22,0.9166666666666666
topk_loss_top4,23,0.18629073641666663
topk_loss_top3,23,0.2990432610833333
mean_experts_for_0.6,23,2.6666666666666665
mean_experts_for_0.9,23,5.25
skip_frac_lt_0.2,23,0.0
skip_frac_lt_0.3,23,0.4166666666666667
skip_frac_lt_0.4,23,0.6666666666666666
skip_frac_lt_0.5,23,0.8333333333333334
topk_loss_top4,24,0.2115561190833333
topk_loss_top3,24,0.3416255274166667
mean_experts_for_0.6,24,3.0
mean_experts_for_0.9,24,5.5
skip_frac_lt_0.2,24,0.08333333333333333
skip_frac_lt_0.3,24,0.5
skip_frac_lt_0.4,24,0.6666666666666666
skip_frac_lt_0.5,24,0.9166666666666666
topk_loss_top4,25,0.2009443158333333
topk_loss_top3,25,0.3286799333333333
mean_experts_for_0.6,25,3.0833333333333335
mean_experts_for_0.9,25,5.25
skip_frac_lt_0.2,25,0.08333333333333333
skip_frac_lt_0.3,25,0.3333333333333333
skip_frac_lt_0.4,25,0.8333333333333334
