corpus,N,mean_union,min_union,max_union,ratio_real_union_N_over_N_times_union_1,baseline_independent_union_N,ratio_baseline
english_prose,1,18.0000,18,18,1.0000,18.0000,1.0000
english_prose,2,35.6053,33,36,0.9890,35.5781,0.9883
english_prose,3,52.6915,35,54,0.9758,52.7443,0.9767
english_prose,4,69.1626,51,72,0.9606,69.5081,0.9654
english_prose,6,100.4615,80,107,0.9302,101.8662,0.9432
english_prose,8,129.5033,94,140,0.8993,132.7253,0.9217
english_prose,12,181.5089,142,199,0.8403,190.2210,0.8807
english_prose,16,227.6470,184,253,0.7904,242.5131,0.8421
python_source,1,18.0000,18,18,1.0000,18.0000,1.0000
python_source,2,35.6019,33,36,0.9889,35.5781,0.9883
python_source,3,52.6504,34,54,0.9750,52.7443,0.9767
python_source,4,69.1456,51,72,0.9604,69.5081,0.9654
python_source,6,100.4212,68,108,0.9298,101.8662,0.9432
python_source,8,129.1591,68,141,0.8969,132.7253,0.9217
python_source,12,179.7209,97,203,0.8320,190.2210,0.8807
python_source,16,224.3375,122,255,0.7789,242.5131,0.8421
german_prose,1,18.0000,18,18,1.0000,18.0000,1.0000
german_prose,2,35.5713,18,36,0.9881,35.5781,0.9883
german_prose,3,52.6750,35,54,0.9755,52.7443,0.9767
german_prose,4,69.3136,51,72,0.9627,69.5081,0.9654
german_prose,6,101.3843,69,107,0.9387,101.8662,0.9432
german_prose,8,131.7520,102,141,0.9149,132.7253,0.9217
german_prose,12,187.4000,145,203,0.8676,190.2210,0.8807
german_prose,16,237.4514,189,260,0.8245,242.5131,0.8421
ALL_POOLED,1,18.0000,18,18,1.0000,18.0000,1.0000
ALL_POOLED,2,35.5932,18,36,0.9887,35.5781,0.9883
ALL_POOLED,3,52.6686,34,54,0.9753,52.7443,0.9767
ALL_POOLED,4,69.2025,51,72,0.9611,69.5081,0.9654
ALL_POOLED,6,100.7325,68,108,0.9327,101.8662,0.9432
ALL_POOLED,8,130.0572,68,141,0.9032,132.7253,0.9217
ALL_POOLED,12,182.5759,97,203,0.8453,190.2210,0.8807
ALL_POOLED,16,229.2766,122,260,0.7961,242.5131,0.8421
