token_pos,layer,slot,expert_id,gate_weight
0,0,0,147,0.072938852
0,0,1,78,0.18355586
0,0,2,30,0.10050464
0,0,3,248,0.26160377
0,0,4,217,0.25540021
0,0,5,179,0.12599662
1,0,0,250,0.11496064
1,0,1,35,0.075254574
1,0,2,137,0.35864049
1,0,3,105,0.10524252
1,0,4,152,0.19436306
1,0,5,113,0.15153874
2,0,0,189,0.091893241
2,0,1,107,0.095946118
2,0,2,102,0.28827757
2,0,3,62,0.064907044
2,0,4,50,0.23703428
2,0,5,77,0.22194178
3,0,0,236,0.045283429
3,0,1,2,0.02401164
3,0,2,255,0.14419927
3,0,3,47,0.26857108
3,0,4,185,0.18000658
3,0,5,104,0.33792806
4,0,0,50,0.14072458
4,0,1,252,0.27271768
4,0,2,132,0.20899428
4,0,3,165,0.12104478
4,0,4,79,0.044726603
4,0,5,136,0.21179205
5,0,0,196,0.20333935
5,0,1,35,0.16530228
5,0,2,56,0.23710896
5,0,3,156,0.098461509
5,0,4,94,0.15474881
5,0,5,45,0.14103909
6,0,0,169,0.41203815
6,0,1,14,0.052810103
6,0,2,150,0.047658525
6,0,3,120,0.054946698
6,0,4,156,0.087981731
6,0,5,29,0.3445648
7,0,0,124,0.10909472
7,0,1,56,0.39235726
7,0,2,154,0.17419925
7,0,3,177,0.10021801
7,0,4,50,0.061703175
7,0,5,241,0.16242759
8,0,0,101,0.14262624
8,0,1,91,0.14687055
8,0,2,103,0.18124086
8,0,3,217,0.12825805
8,0,4,163,0.29546735
8,0,5,188,0.10553694
9,0,0,52,0.070415705
9,0,1,79,0.23712134
9,0,2,55,0.020996997
9,0,3,174,0.050161485
9,0,4,77,0.079981469
9,0,5,213,0.54132295
10,0,0,9,0.1537983
10,0,1,49,0.13062851
10,0,2,7,0.20751806
10,0,3,26,0.1483535
10,0,4,40,0.20081858
10,0,5,175,0.15888304
11,0,0,41,0.17797291
11,0,1,209,0.099795982
11,0,2,42,0.098993853
11,0,3,37,0.14350301
11,0,4,61,0.2400945
11,0,5,145,0.23963976
12,0,0,152,0.25353333
12,0,1,147,0.16257161
12,0,2,63,0.079065584
12,0,3,162,0.21305354
12,0,4,112,0.19213717
12,0,5,156,0.09963873
13,0,0,174,0.1487326
13,0,1,14,0.090800211
13,0,2,31,0.28474265
13,0,3,8,0.085578091
13,0,4,22,0.1150751
13,0,5,23,0.27507135
14,0,0,35,0.11394995
14,0,1,175,0.1422334
14,0,2,120,0.44945881
14,0,3,93,0.072745338
14,0,4,92,0.13898458
14,0,5,54,0.082627945
15,0,0,18,0.059422988
15,0,1,146,0.3967886
15,0,2,109,0.072094582
15,0,3,30,0.21750455
15,0,4,138,0.19369407
15,0,5,105,0.060495198
16,0,0,117,0.12504657
16,0,1,31,0.19505802
16,0,2,132,0.11165137
16,0,3,169,0.19033697
16,0,4,165,0.1846794
16,0,5,42,0.19322768
17,0,0,24,0.199073
17,0,1,220,0.19368729
17,0,2,141,0.11608684
17,0,3,16,0.14665923
17,0,4,125,0.16031927
17,0,5,250,0.1841744
18,0,0,155,0.1702733
18,0,1,184,0.22362395
18,0,2,169,0.11204645
18,0,3,81,0.18575318
18,0,4,150,0.17049918
18,0,5,0,0.13780387
19,0,0,178,0.31106701
19,0,1,60,0.064855389
19,0,2,2,0.28012794
19,0,3,209,0.19632047
19,0,4,39,0.047810875
19,0,5,139,0.099818304
20,0,0,223,0.22795571
20,0,1,236,0.11152737
20,0,2,40,0.21147582
20,0,3,177,0.1746456
20,0,4,16,0.12425173
20,0,5,131,0.15014374
21,0,0,144,0.18345644
21,0,1,78,0.17502412
21,0,2,74,0.18059908
21,0,3,171,0.25972348
21,0,4,90,0.086804993
21,0,5,38,0.11439187
22,0,0,107,0.095953502
22,0,1,132,0.3589088
22,0,2,29,0.037427634
22,0,3,62,0.029106054
22,0,4,106,0.45393863
22,0,5,74,0.024665322
23,0,0,159,0.10855086
23,0,1,189,0.06946671
23,0,2,234,0.40539709
23,0,3,146,0.24849761
23,0,4,1,0.076589242
23,0,5,190,0.091498472
24,0,0,218,0.25111669
24,0,1,167,0.13229367
24,0,2,143,0.24282493
24,0,3,9,0.11776567
24,0,4,210,0.13461652
24,0,5,54,0.12138251
25,0,0,107,0.14451216
25,0,1,132,0.3265363
25,0,2,29,0.050148908
25,0,3,62,0.035619948
25,0,4,106,0.41077736
25,0,5,74,0.032405276
26,0,0,159,0.095362864
26,0,1,189,0.06017692
26,0,2,234,0.40492734
26,0,3,146,0.26803279
26,0,4,1,0.084191673
26,0,5,190,0.087308422
27,0,0,13,0.15640905
27,0,1,57,0.141757
27,0,2,237,0.14642826
27,0,3,21,0.17296502
27,0,4,62,0.20827211
27,0,5,251,0.17416859
28,0,0,63,0.14271945
28,0,1,236,0.15639985
28,0,2,21,0.16147947
28,0,3,110,0.27812597
