token_pos,layer,slot,expert_id,gate_weight
0,0,0,147,0.072930582
0,0,1,78,0.18347923
0,0,2,30,0.10052817
0,0,3,248,0.26163355
0,0,4,217,0.25537175
0,0,5,179,0.12605673
1,0,0,250,0.11488205
1,0,1,35,0.075124197
1,0,2,137,0.35863915
1,0,3,105,0.10525616
1,0,4,152,0.19441146
1,0,5,113,0.15168697
2,0,0,189,0.092010595
2,0,1,107,0.095891587
2,0,2,102,0.28835738
2,0,3,62,0.064954408
2,0,4,50,0.2369286
2,0,5,77,0.22185738
3,0,0,236,0.045276385
3,0,1,2,0.023959069
3,0,2,255,0.14418817
3,0,3,47,0.26870462
3,0,4,185,0.1802731
3,0,5,104,0.33759865
4,0,0,50,0.1407374
4,0,1,252,0.27253678
4,0,2,132,0.20897293
4,0,3,165,0.12112556
4,0,4,79,0.044697527
4,0,5,136,0.21192978
5,0,0,196,0.20361581
5,0,1,35,0.16515686
5,0,2,56,0.23693983
5,0,3,156,0.098526455
5,0,4,94,0.15454997
5,0,5,45,0.14121109
6,0,0,169,0.4121145
6,0,1,14,0.052673835
6,0,2,150,0.047627896
6,0,3,120,0.054830398
6,0,4,156,0.088111676
6,0,5,29,0.34464169
7,0,0,124,0.10894806
7,0,1,56,0.39207926
7,0,2,154,0.17455046
7,0,3,177,0.10014275
7,0,4,50,0.061770234
7,0,5,241,0.16250928
8,0,0,101,0.14260831
8,0,1,91,0.14678432
8,0,2,103,0.18128651
8,0,3,217,0.12810124
8,0,4,163,0.29575238
8,0,5,188,0.10546724
9,0,0,52,0.070262425
9,0,1,79,0.23697701
9,0,2,55,0.021034954
9,0,3,174,0.050232101
9,0,4,77,0.079728603
9,0,5,213,0.54176491
10,0,0,9,0.15376325
10,0,1,49,0.1306835
10,0,2,7,0.20742857
10,0,3,26,0.14857075
10,0,4,40,0.20072606
10,0,5,175,0.15882786
11,0,0,41,0.17804275
11,0,1,209,0.099687047
11,0,2,42,0.098991849
11,0,3,37,0.14341995
11,0,4,61,0.24012861
11,0,5,145,0.23972978
12,0,0,152,0.25351399
12,0,1,147,0.16256976
12,0,2,63,0.079269968
12,0,3,162,0.21319437
12,0,4,112,0.19182973
12,0,5,156,0.099622212
13,0,0,174,0.14840803
13,0,1,14,0.090597913
13,0,2,31,0.28514478
13,0,3,8,0.085561112
13,0,4,22,0.1150744
13,0,5,23,0.27521375
14,0,0,35,0.11399825
14,0,1,175,0.14205377
14,0,2,120,0.44972935
14,0,3,93,0.07268475
14,0,4,92,0.13903728
14,0,5,54,0.082496628
15,0,0,18,0.059434596
15,0,1,146,0.3969236
15,0,2,109,0.072120138
15,0,3,30,0.21766114
15,0,4,138,0.19329567
15,0,5,105,0.06056485
16,0,0,117,0.1252732
16,0,1,31,0.19531164
16,0,2,132,0.11151896
16,0,3,169,0.1903089
16,0,4,165,0.18454941
16,0,5,42,0.19303787
17,0,0,24,0.19872485
17,0,1,220,0.1937869
17,0,2,141,0.11606602
17,0,3,16,0.14657354
17,0,4,125,0.16061448
17,0,5,250,0.18423419
18,0,0,155,0.17046176
18,0,1,184,0.22346686
18,0,2,169,0.1120903
18,0,3,81,0.18576664
18,0,4,150,0.17040323
18,0,5,0,0.13781117
19,0,0,178,0.3109014
19,0,1,60,0.064784564
19,0,2,2,0.28014144
19,0,3,209,0.19658467
19,0,4,39,0.047728594
19,0,5,139,0.099859335
20,0,0,223,0.22763547
20,0,1,236,0.11159801
20,0,2,40,0.21145624
20,0,3,177,0.17461546
20,0,4,16,0.12438685
20,0,5,131,0.15030794
21,0,0,144,0.18330662
21,0,1,78,0.1748746
21,0,2,74,0.1806666
21,0,3,171,0.25971213
21,0,4,90,0.086833127
21,0,5,38,0.11460692
22,0,0,107,0.095821492
22,0,1,132,0.3589451
22,0,2,29,0.037278641
22,0,3,62,0.029144868
22,0,4,106,0.45412254
22,0,5,74,0.024687292
23,0,0,159,0.1085447
23,0,1,189,0.069486551
23,0,2,234,0.40536878
23,0,3,146,0.24845421
23,0,4,1,0.076534607
23,0,5,190,0.091611154
24,0,0,218,0.25097352
24,0,1,167,0.13223207
24,0,2,143,0.24291277
24,0,3,9,0.11774018
24,0,4,210,0.13468783
24,0,5,54,0.12145365
25,0,0,107,0.14429182
25,0,1,132,0.32668632
25,0,2,29,0.050064158
25,0,3,62,0.035624061
25,0,4,106,0.41097209
25,0,5,74,0.032361567
26,0,0,159,0.095126204
26,0,1,189,0.060171992
26,0,2,234,0.40529174
26,0,3,146,0.26792419
26,0,4,1,0.084217623
26,0,5,190,0.087268256
27,0,0,13,0.15653177
27,0,1,57,0.14172664
27,0,2,237,0.14644749
27,0,3,21,0.17292297
27,0,4,62,0.20836377
27,0,5,251,0.17400734
28,0,0,63,0.14249557
28,0,1,236,0.1563562
28,0,2,21,0.16145921
28,0,3,110,0.27844638
28,0,4,55,0.11532555
28,0,5,64,0.14591707
29,0,0,52,0.074926242
29,0,1,79,0.28603375
29,0,2,55,0.023902768
29,0,3,174,0.036229629
29,0,4,77,0.078695521
29,0,5,213,0.50021207
30,0,0,62,0.094354302
30,0,1,232,0.13032773
30,0,2,21,0.10919596
30,0,3,96,0.38041899
30,0,4,86,0.14670484
30,0,5,222,0.13899817
31,0,0,7,0.16338865
31,0,1,28,0.20098989
31,0,2,177,0.12129883
31,0,3,193,0.064958557
31,0,4,42,0.2420305
31,0,5,206,0.20733356
32,0,0,108,0.19972911
32,0,1,90,0.1420632
32,0,2,4,0.18314594
32,0,3,71,0.15348564
32,0,4,235,0.15519768
32,0,5,160,0.16637842
33,0,0,106,0.063902356
33,0,1,103,0.20124023
33,0,2,73,0.47541943
33,0,3,3,0.077083707
33,0,4,9,0.12448558
33,0,5,84,0.057868697
34,0,0,236,0.066484988
34,0,1,56,0.39859965
34,0,2,42,0.10708177
34,0,3,201,0.097054943
34,0,4,24,0.27063951
34,0,5,218,0.060139123
35,0,0,106,0.10008457
35,0,1,229,0.29220322
35,0,2,179,0.12865581
35,0,3,57,0.080960922
35,0,4,1,0.2489513
35,0,5,5,0.14914416
36,0,0,26,0.12695922
36,0,1,185,0.10795812
36,0,2,131,0.12655899
36,0,3,76,0.43373206
36,0,4,232,0.084629349
36,0,5,222,0.12016224
37,0,0,64,0.13556103
37,0,1,47,0.15278073
37,0,2,167,0.11233602
37,0,3,164,0.17100652
37,0,4,14,0.24526364
37,0,5,173,0.18305209
38,0,0,236,0.12119424
38,0,1,182,0.19848126
38,0,2,178,0.16370279
38,0,3,189,0.18897353
38,0,4,117,0.15180744
38,0,5,124,0.17584069
39,0,0,107,0.085143529
39,0,1,132,0.3785339
39,0,2,29,0.076593786
39,0,3,62,0.021915913
39,0,4,106,0.40250334
39,0,5,74,0.035309557
40,0,0,236,0.071791328
40,0,1,56,0.49203509
40,0,2,42,0.12547991
40,0,3,201,0.065664954
40,0,4,24,0.20367424
40,0,5,218,0.041354459
41,0,0,61,0.077830046
41,0,1,96,0.46057945
41,0,2,183,0.065583013
41,0,3,189,0.094034269
41,0,4,97,0.22535211
41,0,5,132,0.076621123
42,0,0,226,0.3558847
42,0,1,216,0.033324495
42,0,2,219,0.063980401
42,0,3,125,0.33142698
42,0,4,146,0.057243753
42,0,5,236,0.15813966
43,0,0,55,0.085227698
43,0,1,104,0.046344154
43,0,2,178,0.14885144
43,0,3,216,0.056455534
43,0,4,42,0.13681498
43,0,5,228,0.52630621
44,0,0,169,0.31424862
44,0,1,14,0.097924098
44,0,2,150,0.060907558
44,0,3,120,0.078117616
44,0,4,156,0.076124229
44,0,5,29,0.37267786
45,0,0,242,0.10207618
45,0,1,148,0.18888491
45,0,2,31,0.14455013
45,0,3,46,0.19175798
45,0,4,153,0.23702194
45,0,5,235,0.1357089
46,0,0,60,0.17772488
46,0,1,169,0.1334825
46,0,2,164,0.14001982
46,0,3,5,0.19378285
46,0,4,187,0.13843526
46,0,5,241,0.21655467
47,0,0,183,0.27374738
47,0,1,141,0.28992423
47,0,2,32,0.055207752
47,0,3,246,0.30181998
47,0,4,223,0.032876525
47,0,5,200,0.046424117
48,0,0,189,0.066802032
48,0,1,107,0.070645846
48,0,2,102,0.32144758
48,0,3,62,0.045361429
48,0,4,50,0.28190079
48,0,5,77,0.21384236
49,0,0,89,0.099765562
49,0,1,218,0.12350909
49,0,2,200,0.095870264
49,0,3,17,0.14660755
49,0,4,40,0.44843712
49,0,5,64,0.085810378
50,0,0,232,0.29802471
50,0,1,201,0.15017691
50,0,2,101,0.17317727
50,0,3,175,0.13565911
50,0,4,199,0.17608745
50,0,5,26,0.066874556
51,0,0,18,0.039233059
51,0,1,146,0.42047998
51,0,2,109,0.16355364
51,0,3,30,0.23000666
51,0,4,138,0.11659821
51,0,5,105,0.030128447
52,0,0,218,0.1232916
52,0,1,192,0.24038333
52,0,2,65,0.11400264
52,0,3,231,0.1510773
52,0,4,94,0.17224859
52,0,5,130,0.19899656
53,0,0,52,0.064212911
53,0,1,79,0.25099763
53,0,2,55,0.017332278
53,0,3,174,0.035427507
53,0,4,77,0.10361159
53,0,5,213,0.52841812
0,1,0,134,0.19382724
0,1,1,33,0.17579646
0,1,2,139,0.12901479
0,1,3,154,0.16906878
0,1,4,105,0.1778459
0,1,5,174,0.15444687
1,1,0,126,0.14219588
1,1,1,179,0.19887941
1,1,2,181,0.15364948
1,1,3,147,0.18187304
1,1,4,151,0.14354792
1,1,5,44,0.17985427
2,1,0,32,0.087917708
2,1,1,251,0.024315836
2,1,2,226,0.26859939
2,1,3,164,0.16153608
2,1,4,2,0.34116626
2,1,5,137,0.11646475
3,1,0,23,0.17850238
3,1,1,109,0.15992936
3,1,2,132,0.19773857
3,1,3,70,0.14501131
3,1,4,58,0.14254993
3,1,5,171,0.17626847
4,1,0,246,0.15510841
4,1,1,23,0.16799444
4,1,2,103,0.18774968
4,1,3,36,0.14585255
4,1,4,61,0.15950529
4,1,5,234,0.18378963
5,1,0,25,0.15116069
5,1,1,160,0.16273496
5,1,2,127,0.19244999
5,1,3,16,0.14920686
5,1,4,22,0.21898055
5,1,5,114,0.12546694
6,1,0,44,0.091797233
6,1,1,117,0.35867572
6,1,2,169,0.12543578
6,1,3,37,0.091338143
6,1,4,195,0.14372629
6,1,5,48,0.1890268
7,1,0,245,0.13943206
7,1,1,40,0.18589224
7,1,2,95,0.16446026
7,1,3,31,0.12904185
7,1,4,234,0.22766739
7,1,5,168,0.15350623
8,1,0,142,0.16571686
