token_pos,layer,slot,expert_id,gate_weight
0,0,0,147,0.072930582
0,0,1,78,0.18347923
0,0,2,30,0.10052817
0,0,3,248,0.26163355
0,0,4,217,0.25537175
0,0,5,179,0.12605673
1,0,0,144,0.20867555
1,0,1,187,0.1790258
1,0,2,191,0.1111718
1,0,3,26,0.092052579
1,0,4,105,0.17532189
1,0,5,180,0.23375237
2,0,0,29,0.14077875
2,0,1,130,0.11793219
2,0,2,229,0.19646583
2,0,3,94,0.09650588
2,0,4,105,0.22052926
2,0,5,103,0.22778806
3,0,0,128,0.30248502
3,0,1,113,0.26267061
3,0,2,104,0.054973859
3,0,3,27,0.078647628
3,0,4,42,0.16622601
3,0,5,52,0.13499685
4,0,0,184,0.08138705
4,0,1,132,0.10116909
4,0,2,91,0.2193048
4,0,3,250,0.12632473
4,0,4,6,0.19691369
4,0,5,135,0.27490067
0,1,0,134,0.19382724
0,1,1,33,0.17579646
0,1,2,139,0.12901479
0,1,3,154,0.16906878
0,1,4,105,0.1778459
0,1,5,174,0.15444687
1,1,0,217,0.15632063
1,1,1,194,0.1631016
1,1,2,234,0.18539587
1,1,3,237,0.16372815
1,1,4,19,0.15980615
1,1,5,25,0.17164758
2,1,0,65,0.18319544
2,1,1,132,0.1629793
2,1,2,232,0.15370139
2,1,3,130,0.18464579
2,1,4,127,0.143933
2,1,5,49,0.17154507
3,1,0,192,0.23867139
3,1,1,240,0.13773304
3,1,2,216,0.1483818
3,1,3,184,0.21498977
3,1,4,7,0.12257252
3,1,5,234,0.13765149
4,1,0,103,0.19676712
4,1,1,49,0.17275421
4,1,2,197,0.17917988
4,1,3,230,0.16448748
4,1,4,2,0.12254171
4,1,5,97,0.1642696
0,2,0,96,0.17582802
0,2,1,146,0.19591595
0,2,2,47,0.16104929
0,2,3,225,0.15445049
0,2,4,114,0.15898663
0,2,5,34,0.15376963
1,2,0,146,0.12978315
1,2,1,121,0.20061345
1,2,2,183,0.15107462
1,2,3,80,0.16725662
1,2,4,30,0.18766968
1,2,5,86,0.16360249
2,2,0,113,0.14300102
2,2,1,242,0.14702658
2,2,2,155,0.19478466
2,2,3,184,0.16142517
2,2,4,209,0.18492512
2,2,5,214,0.16883746
3,2,0,18,0.12536044
3,2,1,255,0.14719994
3,2,2,111,0.16819274
3,2,3,43,0.22428627
3,2,4,77,0.16350508
3,2,5,187,0.17145549
4,2,0,66,0.18976331
4,2,1,5,0.18400076
4,2,2,89,0.15715252
4,2,3,199,0.13885485
4,2,4,108,0.16474903
4,2,5,164,0.16547956
0,3,0,54,0.40410465
0,3,1,143,0.15111654
0,3,2,116,0.13780491
0,3,3,118,0.10502817
0,3,4,117,0.10335747
0,3,5,124,0.098588258
1,3,0,44,0.47043481
1,3,1,237,0.13286661
1,3,2,143,0.10597809
1,3,3,71,0.10046344
1,3,4,90,0.094233193
1,3,5,118,0.096023828
2,3,0,203,0.34583336
2,3,1,188,0.15559518
2,3,2,3,0.15999725
2,3,3,237,0.12941399
2,3,4,194,0.10567169
2,3,5,173,0.10348856
3,3,0,198,0.4444392
3,3,1,203,0.13613129
3,3,2,176,0.10642487
3,3,3,136,0.11030186
3,3,4,188,0.1028242
3,3,5,128,0.099878624
4,3,0,172,0.43748087
4,3,1,188,0.17305467
4,3,2,203,0.11175813
4,3,3,157,0.097650215
4,3,4,114,0.098984756
4,3,5,166,0.081071399
0,4,0,170,0.56246537
0,4,1,182,0.11005611
0,4,2,113,0.097353771
0,4,3,64,0.081452556
0,4,4,121,0.074144915
0,4,5,223,0.074527308
1,4,0,170,0.30235714
1,4,1,182,0.18834123
1,4,2,114,0.14414501
1,4,3,223,0.13721366
1,4,4,135,0.11551196
1,4,5,156,0.11243097
2,4,0,104,0.32176921
2,4,1,170,0.17040971
2,4,2,32,0.16639325
2,4,3,68,0.13832201
2,4,4,223,0.11892489
2,4,5,66,0.084180944
3,4,0,81,0.31720349
3,4,1,170,0.17594793
3,4,2,114,0.16363627
3,4,3,29,0.13953608
3,4,4,73,0.10365682
3,4,5,182,0.10001937
4,4,0,27,0.25411305
4,4,1,114,0.16895837
4,4,2,170,0.14812119
4,4,3,7,0.14654233
4,4,4,29,0.14514188
4,4,5,223,0.13712317
0,5,0,35,0.59241813
0,5,1,59,0.094779119
0,5,2,17,0.08384598
0,5,3,230,0.082147062
0,5,4,80,0.076235607
0,5,5,21,0.070574068
1,5,0,13,0.19434249
1,5,1,110,0.1944315
1,5,2,56,0.17279017
1,5,3,118,0.16247305
1,5,4,167,0.14417104
1,5,5,101,0.13179174
2,5,0,149,0.26042318
2,5,1,246,0.23106906
2,5,2,56,0.20190951
2,5,3,5,0.11670668
2,5,4,110,0.094206996
2,5,5,252,0.095684588
3,5,0,149,0.2737349
3,5,1,242,0.26132175
3,5,2,56,0.13464899
3,5,3,61,0.12061983
3,5,4,99,0.11402387
3,5,5,40,0.095650643
4,5,0,56,0.28826648
4,5,1,5,0.19706799
4,5,2,232,0.16113055
4,5,3,194,0.14336626
4,5,4,101,0.11414384
4,5,5,10,0.096024863
0,6,0,56,0.77288425
0,6,1,81,0.058770392
0,6,2,36,0.044321641
0,6,3,216,0.042006686
0,6,4,4,0.04155485
0,6,5,66,0.040462151
1,6,0,236,0.20529616
1,6,1,83,0.18729997
1,6,2,166,0.17516217
1,6,3,223,0.15298519
1,6,4,1,0.14761306
1,6,5,205,0.13164352
2,6,0,164,0.35540336
2,6,1,236,0.15772577
2,6,2,195,0.13907723
2,6,3,166,0.14045101
2,6,4,255,0.11382146
2,6,5,224,0.093521185
3,6,0,207,0.24371427
3,6,1,164,0.21171692
3,6,2,20,0.17132214
3,6,3,166,0.17476349
3,6,4,236,0.11177367
3,6,5,70,0.086709492
4,6,0,236,0.33728319
4,6,1,86,0.14565848
4,6,2,224,0.14195079
4,6,3,205,0.13670234
4,6,4,188,0.12448195
4,6,5,222,0.11392329
0,7,0,56,0.18553554
0,7,1,169,0.18649368
0,7,2,8,0.17174485
0,7,3,0,0.15413991
0,7,4,15,0.15581061
0,7,5,192,0.14627537
1,7,0,188,0.24369538
1,7,1,12,0.20448731
1,7,2,213,0.15499142
1,7,3,241,0.14310199
1,7,4,197,0.13095272
1,7,5,255,0.12277116
2,7,0,223,0.32217035
2,7,1,188,0.29013616
2,7,2,241,0.10187056
2,7,3,160,0.099013433
2,7,4,255,0.093663543
2,7,5,12,0.093145922
3,7,0,188,0.28064591
3,7,1,223,0.20267347
3,7,2,237,0.15014637
3,7,3,233,0.12276839
3,7,4,182,0.12983982
3,7,5,12,0.113926
4,7,0,233,0.29091808
4,7,1,188,0.24114297
4,7,2,12,0.15819626
4,7,3,141,0.12257811
4,7,4,223,0.093204252
4,7,5,220,0.093960337
0,8,0,20,0.53095257
0,8,1,157,0.13523003
0,8,2,49,0.10461755
0,8,3,238,0.080159247
0,8,4,71,0.072060615
0,8,5,192,0.076979958
1,8,0,20,0.26454219
1,8,1,185,0.17954005
1,8,2,36,0.16701856
1,8,3,106,0.13987762
1,8,4,167,0.14001226
1,8,5,122,0.10900932
2,8,0,189,0.28706124
2,8,1,177,0.22214536
2,8,2,85,0.14751613
2,8,3,15,0.13165036
2,8,4,102,0.11386713
2,8,5,167,0.097759791
3,8,0,177,0.23663934
3,8,1,195,0.17681849
3,8,2,189,0.16132973
3,8,3,167,0.14843501
3,8,4,110,0.14778467
3,8,5,15,0.1289928
4,8,0,128,0.31211811
4,8,1,28,0.21938387
4,8,2,191,0.14125408
4,8,3,15,0.13078105
4,8,4,106,0.10489358
4,8,5,167,0.091569342
0,9,0,72,0.75886339
0,9,1,93,0.050207771
0,9,2,103,0.047163352
0,9,3,119,0.0492015
0,9,4,138,0.048014775
0,9,5,207,0.046549197
1,9,0,195,0.20271851
1,9,1,106,0.18922664
1,9,2,52,0.15791339
1,9,3,133,0.16514681
1,9,4,235,0.14330684
1,9,5,132,0.14168784
2,9,0,253,0.2986339
2,9,1,132,0.13870795
2,9,2,251,0.17959817
2,9,3,106,0.12924668
2,9,4,53,0.13431557
2,9,5,240,0.11949771
3,9,0,49,0.2876085
3,9,1,253,0.18714407
3,9,2,12,0.1766181
3,9,3,14,0.13400558
3,9,4,106,0.10925322
3,9,5,192,0.10537056
4,9,0,191,0.25937837
4,9,1,172,0.21673977
4,9,2,195,0.1473127
4,9,3,78,0.14492615
4,9,4,219,0.12695304
4,9,5,106,0.10468999
0,10,0,8,0.61811447
0,10,1,218,0.078188293
0,10,2,241,0.077161707
0,10,3,80,0.077834584
0,10,4,27,0.074739575
0,10,5,186,0.073961385
1,10,0,150,0.22515129
1,10,1,62,0.21074705
1,10,2,151,0.17282933
1,10,3,218,0.13835028
1,10,4,198,0.13269736
1,10,5,66,0.12022466
2,10,0,30,0.25280979
2,10,1,146,0.18603274
2,10,2,51,0.17219675
2,10,3,163,0.14690673
2,10,4,62,0.13593474
2,10,5,15,0.10611925
3,10,0,30,0.26721078
3,10,1,163,0.18939616
3,10,2,62,0.15885648
3,10,3,51,0.1540522
3,10,4,29,0.1201888
3,10,5,24,0.11029561
4,10,0,15,0.22316884
4,10,1,150,0.20961688
4,10,2,248,0.19270293
4,10,3,9,0.132149
4,10,4,229,0.12216239
4,10,5,34,0.12019995
0,11,0,18,0.58120024
0,11,1,35,0.091618948
0,11,2,120,0.081035748
0,11,3,46,0.084420852
0,11,4,147,0.080002405
0,11,5,1,0.08172182
1,11,0,161,0.42206433
1,11,1,68,0.14542985
1,11,2,47,0.10994849
1,11,3,89,0.10685468
1,11,4,159,0.10806965
1,11,5,173,0.10763297
2,11,0,207,0.23899843
2,11,1,68,0.17730696
2,11,2,76,0.17875288
2,11,3,185,0.15516989
2,11,4,117,0.12785381
2,11,5,168,0.12191802
3,11,0,207,0.21626836
3,11,1,129,0.2071816
3,11,2,20,0.17363356
3,11,3,167,0.14058821
3,11,4,168,0.13361695
3,11,5,169,0.12871134
4,11,0,94,0.37036696
4,11,1,185,0.23251243
4,11,2,58,0.15624082
4,11,3,221,0.083864786
4,11,4,174,0.085549839
4,11,5,68,0.071465187
0,12,0,80,0.57566559
0,12,1,154,0.08996208
0,12,2,113,0.084420696
0,12,3,169,0.082884423
0,12,4,36,0.082627133
0,12,5,229,0.08444009
1,12,0,19,0.42162958
1,12,1,47,0.14281993
1,12,2,221,0.11329798
1,12,3,43,0.10967083
1,12,4,144,0.10651032
1,12,5,96,0.10607139
2,12,0,53,0.27631608
2,12,1,229,0.16772197
