token_pos,layer,slot,expert_id,gate_weight
0,0,0,147,0.072930582
0,0,1,78,0.18347923
0,0,2,30,0.10052817
0,0,3,248,0.26163355
0,0,4,217,0.25537175
0,0,5,179,0.12605673
1,0,0,188,0.17003274
1,0,1,165,0.12869464
1,0,2,80,0.086379826
1,0,3,223,0.24106543
1,0,4,118,0.14700855
1,0,5,47,0.22681879
2,0,0,189,0.082620658
2,0,1,107,0.10383032
2,0,2,102,0.28013065
2,0,3,62,0.0270775
2,0,4,50,0.25448602
2,0,5,77,0.25185487
3,0,0,146,0.080957949
3,0,1,115,0.18462853
3,0,2,17,0.33830407
3,0,3,56,0.12713596
3,0,4,75,0.13935457
3,0,5,134,0.12961894
4,0,0,79,0.04257476
4,0,1,54,0.28377733
4,0,2,44,0.039282318
4,0,3,248,0.17939122
4,0,4,182,0.193224
4,0,5,231,0.26175037
5,0,0,44,0.14328644
5,0,1,252,0.18299223
5,0,2,233,0.19730026
5,0,3,249,0.17574947
5,0,4,29,0.13857098
5,0,5,209,0.16210066
6,0,0,236,0.076557055
6,0,1,56,0.45444903
6,0,2,42,0.098900355
6,0,3,201,0.14465779
6,0,4,24,0.17797811
6,0,5,218,0.047457635
7,0,0,221,0.26440376
7,0,1,93,0.12813914
7,0,2,50,0.2403017
7,0,3,255,0.24956726
7,0,4,51,0.066802308
7,0,5,27,0.050785851
8,0,0,188,0.2296904
8,0,1,165,0.10457743
8,0,2,80,0.19128706
8,0,3,223,0.11497679
8,0,4,118,0.1302869
8,0,5,47,0.22918141
9,0,0,189,0.057847343
9,0,1,107,0.098800085
9,0,2,102,0.29553261
9,0,3,62,0.027791323
9,0,4,50,0.25981089
9,0,5,77,0.2602177
10,0,0,46,0.32530499
10,0,1,2,0.043668371
10,0,2,189,0.080127269
10,0,3,201,0.14297414
10,0,4,115,0.27664584
10,0,5,172,0.13127939
11,0,0,79,0.039221302
11,0,1,54,0.2473039
11,0,2,44,0.040927049
11,0,3,248,0.24462233
11,0,4,182,0.20270576
11,0,5,231,0.22521964
0,1,0,134,0.19382724
0,1,1,33,0.17579646
0,1,2,139,0.12901479
0,1,3,154,0.16906878
0,1,4,105,0.1778459
0,1,5,174,0.15444687
1,1,0,250,0.18580289
1,1,1,241,0.17902091
1,1,2,148,0.18086021
1,1,3,238,0.20389086
1,1,4,24,0.12776592
1,1,5,164,0.12265921
2,1,0,32,0.10936715
2,1,1,251,0.036593031
2,1,2,226,0.31433451
2,1,3,164,0.056848906
2,1,4,2,0.36001864
2,1,5,137,0.12283777
3,1,0,155,0.16232312
3,1,1,135,0.13460116
3,1,2,29,0.18354933
3,1,3,213,0.15285149
3,1,4,157,0.17688406
3,1,5,63,0.18979083
4,1,0,76,0.1519452
4,1,1,217,0.1916309
4,1,2,141,0.17470621
4,1,3,25,0.09565533
4,1,4,58,0.31335008
4,1,5,66,0.072712258
5,1,0,147,0.18076833
5,1,1,33,0.16398478
5,1,2,143,0.14971408
5,1,3,205,0.17583197
5,1,4,92,0.13825582
5,1,5,219,0.19144507
6,1,0,182,0.15080786
6,1,1,232,0.08610896
6,1,2,104,0.27113038
6,1,3,19,0.22072744
6,1,4,38,0.18453829
6,1,5,75,0.086687103
7,1,0,215,0.13830972
7,1,1,89,0.1338003
7,1,2,107,0.27825716
7,1,3,79,0.088523127
7,1,4,149,0.11122932
7,1,5,8,0.24988033
8,1,0,250,0.19723326
8,1,1,241,0.19489221
8,1,2,148,0.18369466
8,1,3,238,0.20209712
8,1,4,24,0.10526725
8,1,5,164,0.11681549
9,1,0,32,0.085111745
9,1,1,251,0.053608958
9,1,2,226,0.35500279
9,1,3,164,0.051834982
9,1,4,2,0.34783393
9,1,5,137,0.10660762
10,1,0,162,0.15162638
10,1,1,21,0.19493771
10,1,2,199,0.14927335
10,1,3,90,0.14981014
10,1,4,53,0.16991597
10,1,5,183,0.18443646
11,1,0,76,0.11484345
11,1,1,217,0.16990528
11,1,2,141,0.16576974
11,1,3,25,0.085601427
11,1,4,58,0.39611948
11,1,5,66,0.067760602
0,2,0,96,0.17582802
0,2,1,146,0.19591595
0,2,2,47,0.16104929
0,2,3,225,0.15445049
0,2,4,114,0.15898663
0,2,5,34,0.15376963
1,2,0,26,0.15470062
1,2,1,155,0.15641171
1,2,2,107,0.1751589
1,2,3,7,0.16494288
1,2,4,52,0.18155368
1,2,5,185,0.16723225
2,2,0,242,0.073940523
2,2,1,21,0.11530555
2,2,2,76,0.29470858
2,2,3,89,0.17900984
2,2,4,101,0.093748406
2,2,5,185,0.24328709
3,2,0,158,0.15120555
3,2,1,82,0.15145305
3,2,2,240,0.1662516
3,2,3,20,0.18208742
3,2,4,55,0.1623622
3,2,5,131,0.18664019
4,2,0,238,0.12491921
4,2,1,144,0.15339607
4,2,2,235,0.2000871
4,2,3,114,0.22332934
4,2,4,251,0.16923894
4,2,5,7,0.12902932
5,2,0,144,0.15887307
5,2,1,200,0.18809229
5,2,2,63,0.14049025
5,2,3,167,0.18674964
5,2,4,18,0.14457443
5,2,5,41,0.18122032
6,2,0,239,0.13582103
6,2,1,49,0.13169686
6,2,2,39,0.10413498
6,2,3,37,0.14893268
6,2,4,2,0.18631212
6,2,5,203,0.29310229
7,2,0,71,0.18004717
7,2,1,1,0.17604427
7,2,2,146,0.12427017
7,2,3,224,0.19189057
7,2,4,65,0.15284587
7,2,5,177,0.17490196
8,2,0,26,0.15981801
8,2,1,155,0.16522402
8,2,2,107,0.18085375
8,2,3,7,0.18780108
8,2,4,52,0.15476064
8,2,5,185,0.1515425
9,2,0,242,0.078200981
9,2,1,21,0.1239676
9,2,2,76,0.28037274
9,2,3,89,0.20613851
9,2,4,101,0.097096078
9,2,5,185,0.21422406
10,2,0,11,0.1755016
10,2,1,8,0.15025392
10,2,2,127,0.18854861
10,2,3,227,0.14599691
10,2,4,111,0.16742359
10,2,5,195,0.17227533
11,2,0,238,0.11213312
11,2,1,144,0.16452134
11,2,2,235,0.2036804
11,2,3,114,0.21920921
11,2,4,251,0.16116406
11,2,5,7,0.13929185
0,3,0,54,0.40410465
0,3,1,143,0.15111654
0,3,2,116,0.13780491
0,3,3,118,0.10502817
0,3,4,117,0.10335747
0,3,5,124,0.098588258
1,3,0,44,0.40364715
1,3,1,26,0.25241601
1,3,2,149,0.098737769
1,3,3,143,0.088177003
1,3,4,128,0.081872411
1,3,5,62,0.07514967
2,3,0,163,0.32392684
2,3,1,44,0.16149995
2,3,2,148,0.15753318
2,3,3,26,0.14390145
2,3,4,149,0.11354868
2,3,5,105,0.099589862
3,3,0,148,0.28214645
3,3,1,149,0.22618636
3,3,2,40,0.20685862
3,3,3,5,0.096887231
3,3,4,50,0.099406056
3,3,5,96,0.088515297
4,3,0,4,0.38919124
4,3,1,148,0.18866153
4,3,2,90,0.11446898
4,3,3,149,0.10952879
4,3,4,71,0.10200574
4,3,5,143,0.096143715
5,3,0,11,0.21599545
5,3,1,149,0.21128538
5,3,2,40,0.20636417
5,3,3,228,0.13809915
5,3,4,0,0.11949297
5,3,5,173,0.10876291
6,3,0,223,0.34642619
6,3,1,227,0.18688901
6,3,2,148,0.137661
6,3,3,134,0.11742048
6,3,4,143,0.11587044
6,3,5,90,0.09573289
7,3,0,54,0.27959326
7,3,1,234,0.26233765
7,3,2,148,0.14673156
7,3,3,143,0.11367845
7,3,4,149,0.10250239
7,3,5,20,0.095156685
8,3,0,44,0.325369
8,3,1,149,0.24127582
8,3,2,26,0.21253879
8,3,3,144,0.082052454
8,3,4,35,0.071080394
8,3,5,228,0.067683496
9,3,0,163,0.42178449
9,3,1,148,0.19116777
9,3,2,149,0.12911241
9,3,3,79,0.08709082
9,3,4,231,0.085728198
9,3,5,97,0.08511629
10,3,0,149,0.23998518
10,3,1,148,0.1805971
10,3,2,40,0.18686178
10,3,3,228,0.16698776
10,3,4,113,0.11801297
10,3,5,80,0.10755517
11,3,0,4,0.41966724
11,3,1,148,0.15219696
11,3,2,149,0.12648819
11,3,3,143,0.11555228
11,3,4,202,0.094074123
11,3,5,111,0.09202119
0,4,0,170,0.56246537
0,4,1,182,0.11005611
0,4,2,113,0.097353771
0,4,3,64,0.081452556
0,4,4,121,0.074144915
0,4,5,223,0.074527308
1,4,0,170,0.31951806
1,4,1,182,0.18840316
1,4,2,2,0.1500538
1,4,3,115,0.11619334
1,4,4,223,0.11031593
1,4,5,164,0.11551571
2,4,0,175,0.22450006
2,4,1,170,0.19635056
2,4,2,115,0.18880932
2,4,3,2,0.14181982
2,4,4,46,0.11483488
2,4,5,53,0.1336854
3,4,0,159,0.23414943
3,4,1,170,0.18109475
3,4,2,20,0.180397
3,4,3,239,0.14781557
3,4,4,65,0.14382988
3,4,5,140,0.11271337
4,4,0,250,0.36844403
4,4,1,170,0.23955449
4,4,2,20,0.1070139
4,4,3,8,0.096085414
4,4,4,46,0.091929555
4,4,5,122,0.096972674
5,4,0,20,0.18869914
5,4,1,122,0.19164573
5,4,2,170,0.16071467
5,4,3,159,0.17192881
5,4,4,239,0.1474518
5,4,5,188,0.13955982
6,4,0,170,0.23165952
6,4,1,249,0.24515748
6,4,2,53,0.19774412
6,4,3,8,0.13080037
6,4,4,97,0.10319483
6,4,5,20,0.091443673
7,4,0,106,0.28014749
7,4,1,170,0.2057509
7,4,2,237,0.19345017
7,4,3,142,0.12230764
7,4,4,20,0.10188399
7,4,5,46,0.096459858
8,4,0,237,0.39139709
8,4,1,115,0.12605332
8,4,2,142,0.13396572
8,4,3,146,0.11458176
8,4,4,159,0.12131031
8,4,5,20,0.11269182
9,4,0,175,0.2672132
9,4,1,237,0.24865024
9,4,2,170,0.14419106
9,4,3,46,0.11695707
9,4,4,239,0.11099998
9,4,5,122,0.11198843
10,4,0,159,0.26281863
10,4,1,65,0.21655375
10,4,2,20,0.14791204
10,4,3,239,0.13413838
10,4,4,146,0.12012126
10,4,5,170,0.11845598
11,4,0,250,0.39219475
11,4,1,237,0.21245572
11,4,2,170,0.11584876
11,4,3,178,0.098348826
11,4,4,15,0.10081054
11,4,5,8,0.080341421
0,5,0,35,0.59241813
0,5,1,59,0.094779119
0,5,2,17,0.08384598
0,5,3,230,0.082147062
0,5,4,80,0.076235607
0,5,5,21,0.070574068
1,5,0,138,0.17295492
1,5,1,167,0.16847356
1,5,2,53,0.17328067
1,5,3,110,0.16485795
1,5,4,50,0.18110614
1,5,5,228,0.13932674
2,5,0,253,0.24508186
2,5,1,171,0.16378132
