genre,file,tokens,n_batch,accept_per_drafted,draft_coverage,tokens_per_round,tokens_per_round_needed,union,mib_per_token,ratio_vs_base
prose-markdown,HONEST_ASSESSMENT.md,1777,1,0.0,0.0,1.0,1.0,6.0,1485.6,1.0
prose-markdown,HONEST_ASSESSMENT.md,1777,2,0.2705,0.1427,1.0386,1.5483,9.29,2214.7,1.4908
prose-markdown,HONEST_ASSESSMENT.md,1777,3,0.1951,0.132,1.0515,1.9367,11.62,2736.2,1.8418
prose-markdown,HONEST_ASSESSMENT.md,1777,4,0.1495,0.1274,1.0571,2.37,14.22,3330.6,2.2419
prose-markdown,HONEST_ASSESSMENT.md,1777,5,0.1138,0.1269,1.0578,2.6567,15.94,3731.2,2.5116
prose-markdown,HONEST_ASSESSMENT.md,1777,6,0.0911,0.1269,1.0578,3.0533,18.32,4288.3,2.8866
prose-markdown,HONEST_ASSESSMENT.md,1777,7,0.0759,0.1269,1.0578,3.2683,19.61,4590.2,3.0898
prose-markdown,HONEST_ASSESSMENT.md,1777,8,0.0651,0.1269,1.0578,3.5817,21.49,5030.3,3.386
source-python,analyze_routing.py,17207,1,0.0,0.0,1.0,1.0,6.0,1485.6,1.0
source-python,analyze_routing.py,17207,2,0.4483,0.4271,1.1915,1.5483,9.29,1930.6,1.2995
source-python,analyze_routing.py,17207,3,0.3304,0.394,1.2603,1.9367,11.62,2282.8,1.5366
source-python,analyze_routing.py,17207,4,0.2601,0.3775,1.2946,2.37,14.22,2719.7,1.8307
source-python,analyze_routing.py,17207,5,0.2137,0.3679,1.3145,2.6567,15.94,3002.4,2.021
source-python,analyze_routing.py,17207,6,0.1782,0.3635,1.3238,3.0533,18.32,3426.4,2.3064
source-python,analyze_routing.py,17207,7,0.1523,0.3607,1.3296,3.2683,19.61,3651.9,2.4582
source-python,analyze_routing.py,17207,8,0.1337,0.3581,1.335,3.5817,21.49,3985.6,2.6828
source-powershell,run_first_output.ps1,6962,1,0.0,0.0,1.0,1.0,6.0,1485.6,1.0
source-powershell,run_first_output.ps1,6962,2,0.4467,0.3201,1.143,1.5483,9.29,2012.4,1.3546
source-powershell,run_first_output.ps1,6962,3,0.3153,0.2947,1.1858,1.9367,11.62,2426.2,1.6332
source-powershell,run_first_output.ps1,6962,4,0.2453,0.2818,1.2074,2.37,14.22,2916.0,1.9629
source-powershell,run_first_output.ps1,6962,5,0.1964,0.2762,1.2169,2.6567,15.94,3243.2,2.1831
source-powershell,run_first_output.ps1,6962,6,0.1664,0.2711,1.2255,3.0533,18.32,3701.4,2.4915
source-powershell,run_first_output.ps1,6962,7,0.1402,0.2701,1.2272,3.2683,19.61,3956.5,2.6632
source-powershell,run_first_output.ps1,6962,8,0.1216,0.269,1.2289,3.5817,21.49,4329.7,2.9144
tabular-csv,expert_manifest.csv,2396,1,0.0,0.0,1.0,1.0,6.0,1485.6,1.0
tabular-csv,expert_manifest.csv,2396,2,0.8556,0.5535,1.4736,1.5483,9.29,1561.0,1.0507
tabular-csv,expert_manifest.csv,2396,3,0.603,0.5105,1.6156,1.9367,11.62,1780.8,1.1987
tabular-csv,expert_manifest.csv,2396,4,0.6348,0.442,1.8417,2.37,14.22,1911.8,1.2869
tabular-csv,expert_manifest.csv,2396,5,0.4833,0.4394,1.8494,2.6567,15.94,2134.0,1.4365
tabular-csv,expert_manifest.csv,2396,6,0.4802,0.4035,1.9688,3.0533,18.32,2304.0,1.5509
tabular-csv,expert_manifest.csv,2396,7,0.4397,0.3873,2.0219,3.2683,19.61,2401.4,1.6164
tabular-csv,expert_manifest.csv,2396,8,0.4006,0.3768,2.0567,3.5817,21.49,2587.2,1.7415
