layer_group,N,real_mean_union,min_union,max_union,n_windows,shuffled_mean_union,shuffled_std_union,z_real_vs_shuffled,interpretation,uniform_baseline_WRONG_CONTROL_ref_only,diff_real_minus_uniform,diff_pct_vs_uniform,n_shuffles
all_layers_0-42,1,258.0,258,258,12,258.0,0.0,0.0,SKEW-ONLY,258.0,0.0,0.0,30
all_layers_0-42,2,416.45454545454544,370,496,11,442.86363636363643,1.7273139740991676,-15.28910858424793,SHARING,509.953125,-93.49857954545456,-18.33473999114224,30
all_layers_0-42,3,544.5,509,658,10,592.8366666666665,3.0067147076723604,-16.07623980530104,SHARING,756.0010986328125,-211.5010986328125,-27.976295142335232,30
all_layers_0-42,4,661.7777777777778,598,805,9,722.4111111111109,4.991875050285918,-12.14640445174208,SHARING,996.282322883606,-334.50454510582813,-33.57527654788147,30
all_layers_0-42,6,872.0,811,1024,7,942.0333333333332,9.236869131302846,-7.581934131338623,SHARING,1460.0819882236538,-588.0819882236538,-40.27732640816414,30
all_layers_0-42,8,1038.2,970,1210,5,1126.7933333333335,10.506810052116885,-8.431991526817782,SHARING,1902.3958170162714,-864.1958170162713,-45.42670927292518,30
all_layers_0-42,12,1426.0,1426,1426,1,1426.0,0.0,0.0,SKEW-ONLY,2726.5012391348855,-1300.5012391348855,-47.698538349006306,30
hash_layers_0-2,1,18.0,18,18,12,18.0,0.0,0.0,SKEW-ONLY,18.0,0.0,0.0,30
hash_layers_0-2,2,35.36363636363637,34,36,11,34.669696969696965,0.7195844932182828,0.9643612396868297,SKEW-ONLY,35.578125,-0.21448863636363313,-0.6028666107717401,30
hash_layers_0-2,3,52.5,51,54,10,50.136666666666656,1.3919679280226531,1.6978360533712546,SKEW-ONLY,52.7442626953125,-0.2442626953125,-0.4631076117672381,30
hash_layers_0-2,4,69.44444444444444,68,72,9,64.3037037037037,1.9482302135398744,2.638672116371797,SKEW-ONLY,69.50806903839111,-0.06362459394667042,-0.09153555094665182,30
hash_layers_0-2,6,102.42857142857143,100,104,7,89.58095238095235,3.453915631944038,3.7197257885502517,SKEW-ONLY,101.86618522490608,0.5623862036653549,0.5520833065689914,30
hash_layers_0-2,8,124.6,118,134,5,112.22000000000001,4.29991178738708,2.8791288315063124,SKEW-ONLY,132.72528955927476,-8.125289559274762,-6.121884974789247,30
hash_layers_0-2,12,148.0,148,148,1,148.0,0.0,0.0,SKEW-ONLY,190.22101668382922,-42.22101668382922,-22.195768595856975,30
learned_layers_3-42,1,240.0,240,240,12,240.0,0.0,0.0,SKEW-ONLY,240.0,0.0,0.0,30
learned_layers_3-42,2,381.09090909090907,334,460,11,408.1939393939394,1.4753089592101927,-18.37108771951059,SHARING,474.375,-93.28409090909093,-19.66463049467003,30
learned_layers_3-42,3,492.0,458,606,10,542.7,2.3867450060988764,-21.242319506459953,SHARING,703.2568359375,-211.2568359375,-30.03978420712783,30
learned_layers_3-42,4,592.3333333333334,529,735,9,658.1074074074075,4.30445068837811,-15.280480329734578,SHARING,926.7742538452148,-334.4409205118815,-36.086557122651584,30
learned_layers_3-42,6,769.5714285714286,709,924,7,852.452380952381,7.718762004827493,-10.737596563945973,SHARING,1358.2158029987477,-588.6443744273191,-43.33953213676913,30
learned_layers_3-42,8,913.6,852,1077,5,1014.5733333333334,8.823594284187928,-11.443560309009193,SHARING,1769.6705274569968,-856.0705274569967,-48.37457109528538,30
learned_layers_3-42,12,1278.0,1278,1278,1,1278.0,0.0,0.0,SKEW-ONLY,2536.280222451056,-1258.280222451056,-49.6112460804925,30
