"timestamp","tag","prompt_file","n_predict","ctx","threads","ws_cap_mb","repack","wall_s","killed","min_free_mb","exit_code"
"20260809-192423","n8cap4000","p1.txt","8","512","8","4000","False","296.65","False","3885.4","-1"
"20260809-192946","n8cap6000","p1.txt","8","512","8","6000","False","126.61","False","4774","0"
"20260809-212005","stream-n8cap6000","p1.txt","8","512","8","6000","False","748.28","False","603.7","-1"
"20260809-213352","stream-n8cap6000","p1.txt","8","512","8","6000","False","115.86","False","1800.5","0"
"20260809-213850","mmap-n8cap8000","p1.txt","8","512","8","8000","False","123.97","False","2849.9","0"
"20260809-214055","stream-n8cap8000","p1.txt","8","512","8","8000","False","95.05","False","3448.3","0"
"20260809-214424","cache2g-n16cap9000","p1.txt","16","512","8","9000","False","126.63","False","3329.6","0"
"20260809-214843","cache26g-n16cap9000","p1.txt","16","512","8","9000","False","114.07","False","2643.6","0"
"20260813-065052","cpubase","p1.txt","16","512","8","9000","False","34.4","True","584.7","-1"
"20260813-065214","cpubase","p1.txt","8","512","8","5500","False","127.77","False","1013.9","0"
"20260813-065437","vk32","p1.txt","8","512","8","5500","False","31.6","False","2534","1"
"20260813-065544","vk32ub64","p1.txt","8","512","8","5500","False","30.97","False","1501.9","1"
"20260813-065640","vkprobe4","p1.txt","4","512","8","5500","False","112.51","False","1238","0"
"20260813-065833","vkprobe16","p1.txt","4","512","8","5500","False","85.14","False","1927.2","0"
"20260813-070019","vk24","p1.txt","8","512","8","5500","False","102.68","False","2467","0"
"20260813-070226","vk24big","p1.txt","8","512","8","6500","False","67.9","True","1154.7","-1"
"20260813-070354","vk24a2600","p1.txt","8","512","8","6000","False","105.86","False","2112","0"
