pattern,block,block_bytes,qd,mbps,iops
rand,512 B,512,1,2.4,5011.5
rand,512 B,512,8,16.0,32673.2
rand,1 KB,1024,1,8.3,8459.3
rand,1 KB,1024,8,16.7,17075.9
rand,4 KB,4096,1,23.7,6070.2
rand,4 KB,4096,8,113.7,29104.8
rand,64 KB,65536,1,143.0,2287.9
rand,64 KB,65536,8,506.5,8103.2
rand,200 KB,204800,1,246.2,1260.8
rand,200 KB,204800,8,702.6,3597.5
rand,1.6 MB,1638400,1,576.6,369.0
rand,1.6 MB,1638400,8,1187.3,759.9
rand,8 MB,8388608,1,1241.8,155.2
rand,8 MB,8388608,8,844.3,105.5
clustered,512 B,512,1,3.7,7620.1
clustered,512 B,512,8,18.9,38782.1
clustered,1 KB,1024,1,8.6,8825.2
clustered,1 KB,1024,8,36.1,36969.0
clustered,4 KB,4096,1,29.3,7504.2
clustered,4 KB,4096,8,116.3,29762.4
clustered,64 KB,65536,1,109.1,1745.8
clustered,64 KB,65536,8,507.9,8126.7
clustered,200 KB,204800,1,162.9,834.2
clustered,200 KB,204800,8,684.3,3503.7
clustered,1.6 MB,1638400,1,599.8,383.9
clustered,1.6 MB,1638400,8,1170.7,749.2
clustered,8 MB,8388608,1,1166.6,145.8
clustered,8 MB,8388608,8,702.3,87.8
